"job_id","n_baseline","lambda","M","functional"
1,50,0.1,50,"correlation"
2,100,0.1,50,"correlation"
3,250,0.1,50,"correlation"
4,500,0.1,50,"correlation"
5,1000,0.1,50,"correlation"
6,50,0.3,50,"correlation"
7,100,0.3,50,"correlation"
8,250,0.3,50,"correlation"
9,500,0.3,50,"correlation"
10,1000,0.3,50,"correlation"
11,50,0.5,50,"correlation"
12,100,0.5,50,"correlation"
13,250,0.5,50,"correlation"
14,500,0.5,50,"correlation"
15,1000,0.5,50,"correlation"
16,50,0.1,100,"correlation"
17,100,0.1,100,"correlation"
18,250,0.1,100,"correlation"
19,500,0.1,100,"correlation"
20,1000,0.1,100,"correlation"
21,50,0.3,100,"correlation"
22,100,0.3,100,"correlation"
23,250,0.3,100,"correlation"
24,500,0.3,100,"correlation"
25,1000,0.3,100,"correlation"
26,50,0.5,100,"correlation"
27,100,0.5,100,"correlation"
28,250,0.5,100,"correlation"
29,500,0.5,100,"correlation"
30,1000,0.5,100,"correlation"
31,50,0.1,250,"correlation"
32,100,0.1,250,"correlation"
33,250,0.1,250,"correlation"
34,500,0.1,250,"correlation"
35,1000,0.1,250,"correlation"
36,50,0.3,250,"correlation"
37,100,0.3,250,"correlation"
38,250,0.3,250,"correlation"
39,500,0.3,250,"correlation"
40,1000,0.3,250,"correlation"
41,50,0.5,250,"correlation"
42,100,0.5,250,"correlation"
43,250,0.5,250,"correlation"
44,500,0.5,250,"correlation"
45,1000,0.5,250,"correlation"
46,50,0.1,500,"correlation"
47,100,0.1,500,"correlation"
48,250,0.1,500,"correlation"
49,500,0.1,500,"correlation"
50,1000,0.1,500,"correlation"
51,50,0.3,500,"correlation"
52,100,0.3,500,"correlation"
53,250,0.3,500,"correlation"
54,500,0.3,500,"correlation"
55,1000,0.3,500,"correlation"
56,50,0.5,500,"correlation"
57,100,0.5,500,"correlation"
58,250,0.5,500,"correlation"
59,500,0.5,500,"correlation"
60,1000,0.5,500,"correlation"
61,50,0.1,1000,"correlation"
62,100,0.1,1000,"correlation"
63,250,0.1,1000,"correlation"
64,500,0.1,1000,"correlation"
65,1000,0.1,1000,"correlation"
66,50,0.3,1000,"correlation"
67,100,0.3,1000,"correlation"
68,250,0.3,1000,"correlation"
69,500,0.3,1000,"correlation"
70,1000,0.3,1000,"correlation"
71,50,0.5,1000,"correlation"
72,100,0.5,1000,"correlation"
73,250,0.5,1000,"correlation"
74,500,0.5,1000,"correlation"
75,1000,0.5,1000,"correlation"
76,50,0.1,2500,"correlation"
77,100,0.1,2500,"correlation"
78,250,0.1,2500,"correlation"
79,500,0.1,2500,"correlation"
80,1000,0.1,2500,"correlation"
81,50,0.3,2500,"correlation"
82,100,0.3,2500,"correlation"
83,250,0.3,2500,"correlation"
84,500,0.3,2500,"correlation"
85,1000,0.3,2500,"correlation"
86,50,0.5,2500,"correlation"
87,100,0.5,2500,"correlation"
88,250,0.5,2500,"correlation"
89,500,0.5,2500,"correlation"
90,1000,0.5,2500,"correlation"
91,50,0.1,5000,"correlation"
92,100,0.1,5000,"correlation"
93,250,0.1,5000,"correlation"
94,500,0.1,5000,"correlation"
95,1000,0.1,5000,"correlation"
96,50,0.3,5000,"correlation"
97,100,0.3,5000,"correlation"
98,250,0.3,5000,"correlation"
99,500,0.3,5000,"correlation"
100,1000,0.3,5000,"correlation"
101,50,0.5,5000,"correlation"
102,100,0.5,5000,"correlation"
103,250,0.5,5000,"correlation"
104,500,0.5,5000,"correlation"
105,1000,0.5,5000,"correlation"
106,50,0.1,50,"ppv"
107,100,0.1,50,"ppv"
108,250,0.1,50,"ppv"
109,500,0.1,50,"ppv"
110,1000,0.1,50,"ppv"
111,50,0.3,50,"ppv"
112,100,0.3,50,"ppv"
113,250,0.3,50,"ppv"
114,500,0.3,50,"ppv"
115,1000,0.3,50,"ppv"
116,50,0.5,50,"ppv"
117,100,0.5,50,"ppv"
118,250,0.5,50,"ppv"
119,500,0.5,50,"ppv"
120,1000,0.5,50,"ppv"
121,50,0.1,100,"ppv"
122,100,0.1,100,"ppv"
123,250,0.1,100,"ppv"
124,500,0.1,100,"ppv"
